Natural_language_description,Code1,Code2
command execute properly remote server,"foo=`ssh $remoteuser@$remoteaddr ""ls -tr1 /mnt/backup1tb/testarossa/test | tail -n +5 | xargs -d '\n' rm -f""`
",None
zsh capture pipe output another command,"setopt monitor
for f in www/scripts6/lib/*(e*'REPLY=${REPLY#www/scripts6/}'*) main.js; do;
  while (( $#jobstates >= 51 )); do 
    sleep 1
  done
  echo -E babel $f \> www/scripts/$f &
done
",None
process queue aix like xargs max procs,"#!/bin/ksh
nproc=0 max=20
trap 'let nproc--' sigchld
while read file
do    while [ $nproc -ge $max ]
      do sleep 1
      done
      process.sh ""$file"" &
      let nproc++
done
wait
",None
cat file got stdin without xargs,"cat $(find . -name ""*.tcl"")
","find . -name ""*.tcl"" -exec cat {} \;
"
accessing line txt file download rename links,"while read a b
 do
    wget ""$b"" -O ""$a"".jpg
    printf ""$a"".jpg""\n%s"" >> newfile
done  < images.txt
",None
check xargs version,"strings $(which xargs)
$FreeBSD: src/usr.bin/xargs/strnsubst.c,v 1.7 2004/10/18 15:40:47 cperciva Exp $
$FreeBSD: src/usr.bin/xargs/xargs.c,v 1.57 2005/02/27 02:01:31 gad Exp $
@(#)PROGRAM:xargs  PROJECT:shell_cmds-187
[...]
",None
curl stops working used combination xargs,"echo $(curl -s -I https://google.com|grep Server)|cat -A
",None
could untar many tar files seperately one command,"for t in *.tar ; do
  bn=""$(basename ""$t"" .tar)""
  mkdir -p ""$bn""
  tar -xvf ""$t"" -C ""$bn""
done
",None
xargs combined bash c multiple placeholders,"#!/bin/bash

for f in barcode0[1-4].fastq; do
  bn=""$(basename ""$f"" .fastq)""
  for k in {12..14}; do
    krocus --verbose --output_file ""out_krocus/${bn}_${k}Ecoli1.txt"" \
      /nexusb/Gridion/MLST_krocus_DBs/e_coli1 --kmer ""$k"" ""$f""
  done
done
","parallel krocus --verbose --output_file out_krocus/{1.}_{2}Ecoli1.txt /nexusb/Gridion/MLST_krocus_DBs/e_coli1 --kmer {2} {1} ::: barcode0[1-4].fastq ::: {12..14}
"
existing file removed symlink created name,"   -f, --force
          remove existing destination files
",None
find copy files based extension,"photorec='/pathto/your_photo_recovery_folder'
photorecorg='/pathto/your_photo_recorg_folder'

cd ""$photorec"" && \
   EXTDIR=""$photorecorg"" find . -type f -name '*.?*' -exec sh -c '
      for f
      do
         dest=${EXTDIR}/${f##*.}
         cp -p ""$f"" ""$dest/.""
      done
   ' x {} +
",None
softlink directory created without trailing slash,"lrwxr-xr-x  1 user  wheel    15B  2 Aug 08:36 test-notail -> /ln-test/FOLDER
lrwxr-xr-x  1 user  wheel    16B  2 Aug 08:36 test-tail -> /ln-test/FOLDER/
",None
create hard link device file dev directory,"[dr01@centos7 ~]$ df
Filesystem                      1K-blocks    Used Available Use% Mounted on
/dev/mapper/centos_centos7-root  46110724 3792836  42317888   9% /
devtmpfs                          4063180       0   4063180   0% /dev
tmpfs                             4078924       0   4078924   0% /dev/shm
tmpfs                             4078924    9148   4069776   1% /run
tmpfs                             4078924       0   4078924   0% /sys/fs/cgroup
/dev/sda1                         1038336  202684    835652  20% /boot
tmpfs                              815788      28    815760   1% /run/user/1000
",None
ln create symlink using another symlink,"ln -s -- ""$(readlink symlink1)"" symlink4
",None
create symlinks dropping version number,"find . -name '*.so.*' -exec sh -c '
for so; do
  target=""${so%.*}""
  while [ ""${target##*.}"" != ""$target"" ]; do
    echo ln -s ""$so"" ""$target""
    target=""${target%.*}""
  done
done' _ {} +
",None
create symbolic link containing certain subdirectories,"cd target
for dir in /source/*/sub{1,3}; do
  parentdir=${dir%/*}        # remove last directory, e.g. `/sub1`
  parentdir=${parentdir##*/} # leave the directory name, e.g. `dir1`
  mkdir -p ""$parentdir""
  ln -s ""$dir"" -t ""$parentdir""
done
",None
ln create directory soft link exists,"  ln [OPTION]... [-T] TARGET LINK_NAME  
  ln [OPTION]... TARGET  
  ln [OPTION]... TARGET... DIRECTORY  
  ln [OPTION]... -t DIRECTORY TARGET...
",None
cut colored text ignoring color tags,"perl -pe 's/^((?:(?>(?:\e\[.*?m)*).){50}).*/$1\e[m/'
",None
use cut command get first last elements row," nawk -F';' 'BEGIN{OFS="";""}{print($1,$2,$3,$(NF-1),$(NF))}' file.txt 
",None
cut select field text line counting end,"<infile rev | cut -d, -f2 | rev
",None
find command ignore pathname,"find -type f -name ""*.c"" -printf '%f\n'
",None
cut file name actual file,"cut ... << 'EOF'
file1
file2
EOF
",None
unix read line original content file,"$ cat dept.dat | while read line
> do
>     echo ""$line""
>     echo ""$line"" | cut -c 12-29""
> done
department: customer service  section: A
 customer service 
department: marketing         section: A
 marketing        
department: finance           section: A
 finance          
",None
hide ls,"ls -lAtr /foo
","ls -latr ... | grep -v '^d.* \.$'
"
use cut separate multiple whitespace,cat file | tr -s ' ' | cut -d ' ' -f 8,None
shell script write selected fields single line,"perl -lne '
  if (/(.*?) \[.*getConnection (.*?), (ID=\d+)/) {
    if ($2 eq ""REQUEST"") {$r{$3}=$1}
    elsif ($2 eq ""DONE"") {print ""$3, getConnection $r{$3} $1"" if $r{$3}}
  }' < your-file
","for i in {1..800}
do
     echo ""Welcome $i times"" 1>&2
     echo -n ""ID=$i, getConnection ""
     grep ""ID=${i}:"" trace.log \
     | grep getConnection      \
     | cut -d'[' -s -f1        \
     | while read line
     do
       echo -n ""    ${line}""
     done
     echo
done  >> time.log
"
pipe output cut foreach command,"while read -r word
do
    grep -q ""$word"" file.before
    if [ $? -ne ""0"" ]
    then
        echo ""$word not in file""
     fi
done < <(cut -f1 -d"" "" file.after)
",None
get first x characters cat command,"head -c 50 file
",None
find word given pattern using cut,"awk '/^-config2/ {print $2}' file
",None
cut date timestamp string,"TIMESTAMP=$( date +'%Y-%m-%d %H:%M:%S' -r ""$JARNAME"".jar )
",None
extract particular fields lines using shell commands,"cut -d ' ' -f 1,3-10 file1
",None
break line matching certain character using shell command,"tr \; \\n <in >out
",None
cut command separate tab script,"#!/bin/sh

while read -r machine ip
do
  printf '%s : is my hostname & %s : is my @IP\n' ""$machine"" ""$ip""
done < file

exit 0
",None
split file character add data,"sed -e 's/^[^ \t]*[ \t][^ \t]*_\([^_ \t]*\)/&\1\t/' -e 'y/ /\t/' <<<'2 1_123'
",None
store output echo cut variable,"awk '$2 == ""ACTIVE"" { print $1 }' test
",None
unbuffer cut,"… | stdbuf -oL cut -d '@' -f 1 | …
",None
grep first n last n characters line file,"awk '{print $1,$2,$3,"":"",$NF}' logfile
",None
force xargs stop first command error,"find . -name ""Makefile"" | xargs dirname | \
  xargs -I {} sh -c 'make -C ""$1"" build || exit 255' sh {}
",None
curly brackets getting replaced xargs command,"find ./ -name '*.txt' -exec sh -c 'for f; do echo ""some string"" > ""$f"".alt; done' sh {} +
",None
use grep f perl replace file inline substituting new lines x,"for X in $(cat change_this_lines_only.txt)
do
  sed -i ""/^${X},/s/\$/;X/"" on_this_file.txt
done
","$ awk -F"","" '
FNR==NR{ a[$1]=$1;next} (FNR==1){print $0;}((NR > 1) && (a[$1]==$1)){ print $0"",X""}' change_these_lines_only.txt on_this_file.txt 
Instance,Session,SenderCompID,Type,SrcAddr,SrcPort,DstAddr,DstPort,Protocol,Client,MIC,curr
304,PBAR29,PBAR29,V,146.127.180.96/27,,162.69.138.157,40008,pillar,DESH,ARCX,USD,X
304,PBAR36,PBAR36,V,146.127.180.96/27,,162.69.142.4,40015,pillar,DESH,ARCX,USD,X
304,PBAR28,PBAR28,V,146.127.180.96/27,,162.69.142.109,40007,pillar,DESH,ARCX,USD,X
310,PBAR88,PBAR88,V,146.127.197.128/26,,162.69.142.207,40285,pillar,SQOL,ARCX,USD,X
304,PBAR31,PBAR31,V,146.127.180.96/27,,162.69.138.62,40010,pillar,DESH,ARCX,USD,X
"
render newline escape sequences xargs,"echo 'a\\nb\\nc' | xargs -I{} echo -e {}
","echo 'a\nb\nc' | xargs -d '\n' -I{} echo -e {}
"
process pipe processes bytes time,"for i in {0..N} 
do
    dd if=input_s16le_audio.pcm bs=256 count=1 skip=$i |  ./fpga_fft
done
","cat input_s16le_audio.pcm |
  parallel --pipe --recend '' --block 256 ./fpga_fft
"
restrict student account permissions give faculty access,"drwxrws---. 253 student1 faculty 32768 Nov 29 16:39 student1
",None
chmod change permissions certain directories,"chmod a+w wp.localhost [1]
",None
filter range date particular column csv file,"awk -v start=""$start"" -v end=""$end"" -F, ' 
BEGIN{srt=""date -d""start"" +%s""; srt|getline start; close(srt);  
      ed=""date -d""end"" +%s""; ed|getline end; close(ed) } 
{ bkp=$0; epoch=""date -d""$2"" +%s"";epoch |getline $2;close(epoch)}; 
    ($2>=start && $2<=end){print bkp}' infile
",None
printing characters colon,"sed 's/[^,:]*://g' file
",None
replace special characters specific field,"awk -F, -v OFS=, '{gsub(/\//,"","",$2); print}'
",None
compare strings two files shell script,"if grep -qwf <(cut -d, -f1 user_input) database; then 
    echo ""This username is already in use, try again!""
else
    echo ""Successfully registered!""
fi
","while IFS=',' read -r username
do
    if grep -wq $username database
    then
        echo ""This username is already in use, try again!""
    else
        echo ""Successfully registered!""
    fi
done < user_input
"
print first field value based delimeter,"awk -F'#' 'NF{ print ($1 != """" ? $1 : $2) }' file
",None
getting last lines matches pattern multiple files,"awk     'BEGINFILE { a = """"}
         /prop1/   { a=$NF $2 $1}    ## Change this if necessary
         ENDFILE   { if (a != """") print FILENAME, a}' ./node*.log
",None
format file last columns starting th tab th space,"$ awk '{printf ""%s %-6s%-81s%-12s%-12s%s\n"",$1,$2,gensub(/[0-9.-]* +[0-9.-]* +[0-9]$/,"""",""g"",substr($0,10)),$(NF-2),$(NF-1),$NF}' inp | head
AD AD100 Canillo                                                                          42.5833     1.6667      6
AD AD200 Encamp                                                                           42.5333     1.6333      6
AD AD300 Ordino                                                                           42.6        1.55        6
AD AD400 La Massana                                                                       42.5667     1.4833      6
AD AD500 Andorra la Vella                                                                 42.5        1.5         6
AD AD600 Sant Julià de Lòria                                                              42.4667     1.5         6
AD AD700 Escaldes-Engordany                                                               42.5        1.5667      6
AR 3636  POZO CERCADO (EL CHORRO (F), DPTO. RIVADAVIA (S))  Salta A                       -23.4933    -61.9267    3
AR 4123  LAS SALADAS Salta A                                                              -25.7833    -64.5       4
AR 4126  BARADERO Salta A                                                                 -26.0833    -65.263     3
$
",None
rename md type files subfolders recursive,"$ tree
.
├── tmp1
│   └── rand32726.md
├── tmp2
│   └── rand16097.md
├── tmp3
│   └── rand10683.md
└── tmpn
    └── rand23531.md

4 directories, 4 files
$ find . -iname '*.md' -execdir mv {} index.md \;
$ tree
.
├── tmp1
│   └── index.md
├── tmp2
│   └── index.md
├── tmp3
│   └── index.md
└── tmpn
    └── index.md

4 directories, 4 files
",None
xargs issue grepped files containing spaces,"xargs -d '\n' less
","find . -name 'Register for rehousing.html' -exec less {} \;
"
preserve order outputs commands executed parallel xargs,"printf ""%s\0"" {1..10000} | parallel --keep-order -r0 -n 1 -P 0 sha256sum
",None
f argument work example cut command," ifconfig enp3s0f2 | grep ether | sed 's/ether.*//' |grep -o ' ' | wc -l 

 8
",None
grep cut text unstructured file,"awk -F'.jar' '/.jar/{print $1"".jar""}' file |awk '{print $NF}' FS=/
","grep -o '[^/]*\.jar\b' file
"
print first two fields file,"grep -o '^[^+]*+[0-9]\+' infile
",None
create numeronyms bash,"awk '{l=length($1); print substr($1,1,1) l-2 substr($1,l,1)}'
",None
print last n characters lines file using cut," rev | cut -c 1-3 | rev
",None
cut command seems work pipe,awk '{ print $2 }',None
chown give right,"chmod -cR u+rwX my-folder
",None
limit output bash certain number characters including invisible characters,"perl -pe 's/^((?:(?>(?:\e\[.*?m)*).){50}).*/$1\e[m/'
",None
compare multiple files display common lines,"while read -r f11 f12 f13
do
  grep -qxFe ""$f11"" file2 && 
  grep -qxFe ""$f12"" file3 && 
  grep -qxFe ""$f13"" file4 && 
  printf ""%s\n"" ""$f11 $f12 $f13""
done < file1
",None
comm proving expected result,"comm -23 <(sort file1.txt) <(sort file2.txt)  
",None
find common number multiple file,"$ awk '{c[$1]++} END{for (i in c) if (c[i] == (ARGC-1)) print i}' a.txt {1..2}.txt
3
6
7
","#!/bin/sh

sort -n a.txt > tmp.txt

END=4

for i in `seq 2 $END`
do
comm -12 --nocheck-order tmp.txt $i.txt |tee tmp.txt
done
cp tmp.txt ""final.txt""
"
apply recursively chmod directories without affecting files,"find ./ -type d -execdir chmod 750 {} +
",None
need chmod shell script rsh,"/bin/sh /path/to/files.sh
",None
write access without read access,"find /proc/[^0-9]* /sys -perm /222 ! -perm /444
",None
loop line values using print list,"awk '{ gsub("","",""\n""); print $0 }' $EmailsFile
","tr ',' '\n' < ${EmailsFile}
"
taking information logs using grep sed awk cut,"{ head -n 1 my_log_file; tail -n 1 my_log_file; } | awk '{print $4}' | tr -d '['
","awk -F""[][]"" 'NR==1{sub("" .*"","""",$2);print $2}END{sub("" .*"","""",$2);print $2}' logfile
"
extract info files output filename concatenated separeted commas,"awk -F'|' '$1 == ""THEAD"" {print FILENAME, $2}' OFS=, file*.failed > transactions.log

cat transactions.log 
file1.failed,150001021
file1.failed,150001022
file2.failed,150001023
file2.failed,150001024
file3.failed,150001025
file3.failed,150001026
",None
get permission number string rw r r,"# stat .xsession-errors 
  File: ‘.xsession-errors’
  Size: 839123          Blocks: 1648       IO Block: 4096   regular file
Device: 816h/2070d      Inode: 3539028     Links: 1
Access: (0600/-rw-------)  Uid: ( 1000/     lik)   Gid: ( 1000/     lik)
Access: 2012-05-30 23:11:48.053999289 +0300
Modify: 2012-05-31 07:53:26.912690288 +0300
Change: 2012-05-31 07:53:26.912690288 +0300
 Birth: -
","r=4
w=2
x=1
"
create folder change contents ownership folder,"fakeroot bash
chown -R root:root nobodysfiles
tar czf nobodysfiles.tgz nobodysfiles
",None
hide parent directory allow view dir,"mkdir -p a/b
touch a/{1,2,3} a/b/{p,o,i}
chmod 111 a
ls -la a      #Permission denied
ls -la a/b    #Lists i and o and p
",None
clear setuid permission using numeric mode,"chmod' and
  ",None
securely running lamp specific user,chown -R <apache user>:<apache group> /var/www,None
chmod work error message,python /path/to/script,None
chmod command run within inotifywait work,"#!/usr/bin/env bash

inotifywait -dr -e create -o /dev/stdout ~/testdir |
while read path event file; do
    sudo chown user:group ""$path$file""
    if [[ $event == *""ISDIR"" ]]; then
        sudo chmod 750 ""$path$file""
    else
        sudo chmod 640 ""$path$file""
    fi
done
",None
chmod chown working sudo called script,touch /root/checkfile,None
changed file access read still write file,"echo ""new-rubbish"" > tmp.txt
",None
flag corresponding x x chmod linux,"$ find /path/to/folder -type d -exec chmod g+s {} +
",None
copy permissions owner others using chmod,"chmod -R go=u /path/to/directory
",None
make script executable vi vim,":! chmod +x %
",:!chmod +x %
subtracting binary files,"dd if=./FileC of=./FileB bs=1 skip=$(stat -c %s ./FileA)
",None
compact chmod unix command,"chmod 0755 *.ksh  # If you want to set these permissions on all *.ksh files
chmod 0755 script?.ksh  # If you want to set these permissions on all files named script[any single character].ksh
chmod 0755 scripta.ksh scriptb.ksh scriptc.ksh  # The plainest form - simply list the files
chmod 0755 script{a..c}.ksh  # Use brace expansion
",None
putting two accounts group giving read access group members,"sudo chgrp -R www-OtagoHarbour /var/www/dropbox
",None
chmod silent mode force exit code spite error,"chmod -f 777 file.txt || :
",chmod -f 777 file.txt || true
ssh super user,"ssh root@hostname.com
",None
store image file bash variable,"$ pic=`base64 pic.jpeg`
$ echo $pic | base64 --decode > pic2.jpeg
$ diff pic*
$ echo $?
0
","pngString=""$(sed 's/\\/\\\\/g;s/%/%%/g;s/\x00/\\x00/g' <example.png)""
printf ""$pngString"" >tmp.png
"
setting correct permissions automatically certain file type file copied non linux file system,"install -m644 file1 ... fileN destination_directory
","#!/bin/bash

args=(""$@"")
dest=""${args[@]:(-1)}""
unset args[${#args[@]}-1]

if [ ! -d ""$dest"" ]; then
    echo ""Please specify a destination directory as the final argument.""
    exit 1
fi

for file in ""${args[@]}""; do
    if [ ""$file"" == *"".mp3"" ] || [ ""$file"" == *"".wav"" ] || [ ""$file"" == *"".ogg"" ];  then
        install -m644 ""$file"" ""$dest""
    else
        install -m755 ""$file"" ""$dest""
    fi
done

exit 0
"
accidentally removed execute permission root directory,"mount -o remount,rw /",None
reliable way give read write access recursively centos,chmod -R 0777 MinimalDbaseExample/,None
setuid suid bit providing root privileges,"chgrp users /sys/class/backlight/intel_backlight/brightness
chmod g+w /sys/class/backlight/intel_backlight/brightness
",None
inverse x mnemonic chmod,"chmod -R ugo-x,ugo+X .
",None
delete stubborn directory,"sudo  chattr =e .dropbox-dist
",None
modify contents directory without sudo,"chgrp -R groupname /path/to/directory
chmod -R ug+rwX /path/to/directory
find /path/to/directory -type d -exec chmod g+s {} +
",None
lock built application,xattr -l,chmod a-x /Applications/Safari.app
executable files normal files via terminal centos,chmod a-x <path>,None
issued chmod home directory permissions problems resulted files,chmod 666,None
permission denied dev bus usb,"ls -la  /dev/bus/usb/005/017
ls: cannot access /dev/bus/usb/005/017: Permission denied
",None
file folder permissions,"sudo find /correct/folder/path -type d -exec chmod g+x ""{}"" \;
",None
securely sanitize permissions subtree,"Defaults!/usr/local/bin/fix-our-permissions env_reset
%our-app-maintainers ALL = NOPASSWD: /usr/local/bin/fix-our-permissions
",None
proper permission directory creating file,"sudo chmod -R +x a
",None
make files dir executable non recursively strictly ensuring non recursivness,"find ~/x -maxdepth 1 -type f -exec chmod +x {} +
",None
loop works terminal ld executable permission,"while IFS= read -d '' -r line; do 
    printf ""%s\0"" ""$line""
done > executable-file < /lib64/ld-2.17.so
",None
set file permissions default umask,"$ echo 'ibase=8; obase=8; (( 0666 - 0002 ))' | bc
644
$ echo 'ibase=8; obase=8; (( 0777 - 0002 ))' | bc
775
",None
change permissions files directory,"sudo chown -R miki /opt/hadoop-3.2.0
",None
write file redirection pipes read,"#!/bin/sh
chmod +w ""$1""
cat > ""$1""
chmod -w ""$1""
",None
chmod change permissions file,chmod a-r bin/python,None
chmod r documents,"find ~/Documents -type d -exec chmod a+x {} +
",None
use chmod instead chmod u rw go r,umask -S,None
make folder request root password view execute,"# chmod -R r+o /path/to/music_dir
",None
change permissions tar file apply files inside,"--same-owner
       try extracting files with the same ownership as exists in the archive (default for superuser)

--no-same-owner
       extract files as yourself (default for ordinary users)
",None
temporarily leave fakeroot environment,"$ fakeroot sh
$ chown root:root fo.c
$ LD_PRELOAD= chown root:root fo.c
chown: changing ownership of 'fo.c': Operation not permitted
",None
group permission denied,bash /path/to/script,None
get filename path curl saved output,"output=""/usr/bin/hello""
sudo curl -s $URL -o $output && sudo chmod +x $output
",None
macos chmod reference reference file file returns chmod illegal option,"brew install coreutils
",None
weird control behavior,"int rdbytes = read(fd, buffer, sizeof buffer);","$ cat > foo.txt
bar
baz
^D
"
display syntax highlighting file,-f terminal,None
cat file remove commented lines,"sed -e '/^;/d' php.ini
",None
append text many files using cat echo,"echo ""hello"" | tee -a file1 file2
",None
read log file two dates,"awk '$0 >= ""13/05/13 07:50"" && $0 <= ""13/05/23 01:58""'
",None
tool combines zcat cat transparently,gunzip -c,None
concat file line fly,"cat -- ""$INPUT_FILE""
echo ""$EXTRA_LINE""
",None
inconsistency using cat vs echo piped sed command,od -x,"echo abc > abc.txt
cat abc.txt | sed -n 'N;p'
"
cat file udp pt send udp packet per c delimited line,"gawk -v 'RS=\03' -v cmd='
  socat -u - udp-datagram:239.255.0.1:30001,bind=127.0.0.1' '
  {print $0 RT| cmd; close(cmd)}' < file
",None
using cat binary files mess terminal,cat anyOldShellScript | bash,None
splitting file directory name space via shell script,"while read -r item ; do    
  dn=$(dirname ""$item"")

  printf ""%s\n"" ""$item""
  printf ""%s\n"" ""$dn""

  # pass ""$item"" and ""$dn"" to another process
done < Files.txt
",None
cat command automatically escape everything might violation,"(yeti@darkstar:6)~/wrk/tmp$ cat ./xyzzy 
#!/bin/bash
cat << EOF
Version 1 - Today is $(date)
EOF
cat << 'EOF'
Version 2 - Today is $(date)
EOF
(yeti@darkstar:6)~/wrk/tmp$ ./xyzzy 
Version 1 - Today is Sa 21. Jun 08:51:38 CEST 2014
Version 2 - Today is $(date)
",None
add new line sed cat,"$ cat test 

<td><a href=""//mywebsite.net/page/MyFile_20110101.html"">MyFile_20110101.html
<td><a href=""//mywebsite.net/page/MyFile_20110102.html"">MyFile_20110102.html
<td><a href=""//mywebsite.net/page/MyFile_20110103.html"">MyFile_20110103.html

$ sed -i 's/^.*>//' test

$ cat test  

MyFile_20110101.html
MyFile_20110102.html
MyFile_20110103.html
",None
expand word bash talking file wildcards,"eval ""echo $(cat file)""
",None
stdin input behavior cat less,"if (isatty(fd0))
{
    error(""Missing filename (\""less --help\"" for help)"", NULL_PARG);
    quit(QUIT_OK);
}
return (edit(""-""));
",cat > somefile
could include variable document,"set IP_ADDR = ""123.123.123.123""
",None
read dash files,"cat <-file_name
",None
meaning cat dev null file,"> /var/spool/mail/root
",None
reverse cat files order,"ls -rt access.log* | xargs cat 
",None
combining n number files cat command,"$ files=( /tmp/a ""/tmp/a file from windows"" /tmp/myfile )
$ cat ""${files[@]}"" > newfile
","$ for i in {1..3}; do cat inputfile$i>>outputfile; done
"
using find exec print name file front line,"find . -iname ""somepattern*txt"" -exec grep -H '' {} \+
","find . -iname ""somepattern*txt"" -exec awk -v a={} '{ print a "" "" $0 }' {} \;
"
merge multiple files based timestamp,"sort file1 file2 > outputfile
",None
file merging name different extension,"ext='(txt|tsv|text|log)'
for f (**/*.$~ext(.)) cat < $f >> $f:t:r.merged
",None
concatenate selected extensions output,"txt_files=( *.txt )
for f in ""${txt_files[@]}""; do 
    root=${f%%.*}
    [[ -f ""$root.csv"" ]] && cat ""$root.txt"" ""$root.csv"" > ""$root.merged""
done
",None
uuoc useless use cat redirect one file another,cat < file1 > file2,None
redirect output program cat pipe,"set   ./file[123]            ### set an arg array of the glob resolution
while [ ""${2+:}"" ]           ### while there are at least 2 args
do    [ ""$1"" -nt ""$2"" ] &&   ### if $1 is newer than $2 then ...
      set ""$@"" ""$1""; shift   ### reset the array to itself + $1; shift regardless
done; cat <""$1""              ### after loop cat $1 or report no glob match
",None
count number lines utf le cr lf bom file,"#! /usr/bin/env perl
use strict;
use warnings;

while (my $file = shift @ARGV) {
    my $fh;
    if (!open($fh, '<:encoding(UTF-16)', $file)) {
        print STDERR ""Failed to open [$file]: $!\n"";
        next;
    }
    my $count = 0;
    $count++ while (<$fh>);
    print ""$file: $count\n"";
    close $fh;
}
","$ iconv -f UTF-16LE -t UTF-8 myfile.txt | dos2unix | wc -l
"
provide default value command returns non zero exit code,"cat config || cat defaultconfig
",None
prepend header file using cat,"echo ""<?php"" && cat test.php
",None
safe execution cat command without executing arbitrary code,cat -v /usr/bin/vi,None
